comment,channel_name,date,like_count,dislike_count
Tercycduk,@SokhibDolopo,2024-02-03 05:30:56+00:00,0,0
5:25:09,@IrfanR,2022-10-02 01:38:24+00:00,0,0
"Anjir lah Minggu satu ada role nana gepeng wkwk
Mantap MPL",@IrfanR,2022-10-02 01:37:08+00:00,2,0
NANA GEPENG 3:51:51 WKWKWKKWKWKW,@citpaantuhan6767,2022-08-27 12:11:21+00:00,0,0
Goblok ga gelem lord,@oppdari,2022-08-23 01:38:49+00:00,0,0
MANA NANA GEPENG,@appirahman4292,2022-08-22 23:03:24+00:00,0,0
Baru ngeh ada nana gepeng 😂😭😭,@haniffseptian,2022-08-22 09:44:27+00:00,0,0
Nana Gepeng  3:51:53,@mochammadsyahrul585,2022-08-19 17:29:05+00:00,1,0
"3:31:34 👏
Mobazane Is Coming Back To Indonesia ! 🔥

The Battle Slayer Is Sword Knight
From North America, BTK",@sandiprayoga2082,2022-08-19 13:00:10+00:00,0,0
"3:40:26 🔥
BTR Kyy Gayanya Terlihat Paling Sempurna

Apakah BTR Vivian
Ingin Seperti Idola Player Terbaik ? 🤔",@sandiprayoga2082,2022-08-19 12:51:50+00:00,0,0
3:53:55 Balik lagi kesini gara2 nana gepeng wkwkw,@ginanjarpujo,2022-08-16 01:09:49+00:00,2,0
ada nana gepeng di atas role Haizz😂 3:51:52,@kocakgamingsumbawa974,2022-08-16 01:00:14+00:00,0,0
5:13:20,@chesspen,2022-08-15 13:27:42+00:00,1,0
Turnamen taek dipause mulu,@ilham7493,2022-08-15 09:48:23+00:00,0,0
nana gepeng awokawok,@bubbleshd6423,2022-08-14 12:41:35+00:00,0,0
"Gua kagum Ama Ling nya Albert,dari seson kemarin di ban Mulu🤣",@aisyahmarreta5882,2022-08-14 12:20:49+00:00,7,0
role nana kakkakwkoaok,@ilham9498,2022-08-14 07:37:26+00:00,0,0
"Ayoo geek, kalah terus 🤣🤣",@aderaihanfaro9597,2022-08-13 12:58:22+00:00,0,0
"3:00:28 geek vs geek
3:51:51 role nana",@LittleFannn,2022-08-13 08:54:42+00:00,2,0
NT Geek Fam,@Sandstone..,2022-08-13 07:34:15+00:00,0,0
no #indopride wkwk,@askachaniago2777,2022-08-13 06:29:05+00:00,0,0
hanz nya amateur,@kiwiwiz2593,2022-08-13 05:48:46+00:00,0,0
"31:36 🔥 > 31:47 🔥
DLAR (EVOS Legends)
The Idol Generation Talent EVOS

The Revenge Of Green Monster 💚
Mayy & LW (GPX Basreng)

31:58 🔥
BALOYSKIE (GEEK Slate)
The Revenge Slayer
Of 2 Roamer GPX Basreng 💚

Bertarung Ambisi Teknisi Semangat
Dengan BTR Susugajah (Coach)

32:47 🔥😡🔥
Siap Bangkit Dan Penuh Lebih Semangat 
Untuk 2 Tim Terbaik MPL Ladies

INI PUNYA KITA ! ✊",@sandiprayoga2082,2022-08-13 04:08:51+00:00,3,0
So keras lo Geek haha100x,@sitiojah6471,2022-08-13 04:04:46+00:00,2,0
Netizen muka 2 pertama dukung geek pas kalah dukung rrq😂😂😂😂,@mywindah.,2022-08-13 03:48:30+00:00,2,0
Ini esok ka,@muhqibransatyanegara3650,2022-08-13 03:42:06+00:00,0,0
Jir ler spam claude,@phrd9816,2022-08-13 03:36:38+00:00,0,0
"0:14 🔥
Semangat Konsisten Menangin Match,
Jangan Sampai Menggaruk Ketombe Basah

Move On Ke Head & Shoulders ! 😉

100% PD
Ketombe Basah Dan Gatal, Wiped Out ! 👊

3:29:52 🔥👊🔥
Bigetron ERA Dan RRQ Mika (ID 🇮🇩)
Siap Bertarung Unipin Ladies SEA Cup 2022

WE OWN THIS ! 🔥",@sandiprayoga2082,2022-08-13 03:27:35+00:00,1,0
Global ban?,@thedailybeatlyrics,2022-08-13 03:08:47+00:00,0,0
E-sport indo kalah sama negara lain.,@yokihan6088,2022-08-13 02:12:10+00:00,0,0
Jujur si. Lebih berwarna di season ini keknya,@Hasy-Vanz,2022-08-13 02:10:00+00:00,0,0
3:52:00 role nana gepenk🗿🗿,@rzkyyy7514,2022-08-13 02:03:34+00:00,1,0
Gak seru banyak player PH,@burhanmuhammad501,2022-08-13 01:59:39+00:00,1,0
