comment,channel_name,date,like_count,dislike_count
paling males dah kalo liat orf di turnamen recal² kaya kurang respect aja,@gabocis5918,2025-05-19 11:51:37+00:00,0,0
Kabuki maksa,@CANTELCANTEL-o4z,2025-05-16 07:18:41+00:00,0,0
Siapa yg ga nyangka tlid juara,@ElzidaneFarlie-t5h,2025-02-17 13:18:01+00:00,0,0
gg,@adeknyatutuyu1891,2024-08-18 13:55:51+00:00,0,0
Evs tak prlu tgk bung masa kau je,@shahrulArmin-b5y,2024-08-17 16:49:54+00:00,0,0
Tepoz,@doglek68,2024-08-17 16:30:25+00:00,0,0
Kenapa main layarnya tidak ada tampilan yang sesuai dengan di streaming,@AaronAtmaja,2024-08-14 10:27:00+00:00,0,0
woylaaa kudet bjirrr,@OktaviaTaranaocasaja,2024-08-13 07:46:32+00:00,0,0
Srako drako Ceko vs,@neninuraini1713,2024-08-13 02:17:55+00:00,1,0
MULIA77,@kadanGGAMING,2024-08-12 19:13:42+00:00,0,0
.,@SdfCf-dm9oe,2024-08-12 15:58:02+00:00,0,0
40:55,@Lagger399,2024-08-12 12:28:21+00:00,0,0
MPL Indonesia ayolah bangkit demi M6,@AaronAtmaja,2024-08-12 09:40:37+00:00,0,0
"Duh buat yang bilang FNOC jago di Lokal/MPL ID doang, jadi tim lain dan kesayangan kalian jagonya dimana? Kalo di MPL ID aja gk bisa bersaing dengan Fnatic Onic 👀",@wizzlez,2024-08-11 15:49:23+00:00,6,0
"Yang GAJE DI SINI PANSER&DOUMA,",@KhaerulFaiz-xr3eh,2024-08-11 12:27:31+00:00,0,0
Lah jam 6 bukannya rrq btr ya,@FaruqNawawi-g9i,2024-08-11 11:01:23+00:00,0,0
"20:16 ✊🔥
Clara Mongstar : ""WE OWN THIS !""

DENGAN KEBERSAMAAN
KITA AKAN MENJADI HEBAT

25:42 ⚔️🔥
SELESAIKAN MISI BERAT MDL S10
SIAP BERJUANG IESF WEC 2024 RIYADH

FIGHT UP
TEAM VITALITY 🐝",@sandiprayoga2082,2024-08-11 05:58:51+00:00,0,0
"0:49 🔥✨
HARAPAN TAKDIR JUARA
UNTUK TIMNAS MLBB WOMEN'S ID 🇮🇩

21:15 😔
TEAM VITALITY IS OVER ERA
GAGAL MERAIH JUARA MWI 2024

24:40 🔥
MASIH ADA BERJUANG
3 BULAN LAGI DI IESF WEC 2024

WE OWN THIS

Official Partner In Esports :

1:24 Campina

1:47 Head & Shoulders",@sandiprayoga2082,2024-08-11 05:48:23+00:00,0,0
"Kairi out albertt in, kerna onic bisa juara d mpl doang inter out terus  😂😂 kairi the real uchihaa",@izzaty_ss8358,2024-08-11 05:07:26+00:00,0,0
1:53:01 wkwkwk😂,@farelaghassanijuliansyah9400,2024-08-11 01:33:49+00:00,3,0
INDO WEAK. MALAYSIA CAN DEFEAT ALL INDO TEAMS. BUT PHILIPPINES STILL THE STRONGEST,@kaberto3135,2024-08-10 11:52:50+00:00,0,0
INDO WEAK. MALAYSIA CAN DEFEAT ALL INDO TEAMS. BUT PHILIPPINES STILL THE STRONGEST,@kaberto3135,2024-08-10 11:52:32+00:00,0,0
INDO WEAK. MALAYSIA CAN DEFEAT ALL INDO TEAMS. BUT PHILIPPINES STILL THE STRONGEST,@kaberto3135,2024-08-10 11:52:19+00:00,0,0
INDO WEAK. MALAYSIA CAN DEFEAT ALL INDO TEAMS. BUT PHILIPPINES STILL THE STRONGEST,@kaberto3135,2024-08-10 11:52:04+00:00,0,0
Kalo di indo onic OP parah padahal yaa..,@GentongBolong-o5o,2024-08-10 11:51:55+00:00,0,0
Pengen liat si Stev,@arjunajun2464,2024-08-10 10:51:55+00:00,0,0
Berat punggung King Gugun.,@slametbae618,2024-08-10 09:31:52+00:00,0,0
lutpi 58:33,@taraabrar3502,2024-08-10 09:31:07+00:00,0,0
"selama indo ga pernah juara dunia, gua ga bakal nonton pertandingan mobile legend",@geenjieh2206,2024-08-10 07:58:15+00:00,0,0
sumpah tim liquid ini kyk bocah epik,@sazalijalaludin6327,2024-08-10 07:47:50+00:00,1,0
Caster yg slow aja bisa g sih co brisik tolol,@nandoputra4450,2024-08-10 07:27:43+00:00,0,0
coba dulu main di JURAGANMAIN.  pasti profit,@WeiMan-d3c,2024-08-10 07:19:57+00:00,0,0
👑Khusus New Member_HAUSWIN 138..KLAIM 100K✨,@Raja22334,2024-08-10 06:17:10+00:00,0,0
👑Spesial New member_HAUSWIN 138 ADA 100K✨,@laukeshkumar2394,2024-08-10 06:16:58+00:00,0,0
👑@G.A.R.U.D.A.H.O.K.I populer saat ini✨,@SukumaranSukumaran-kx7ry,2024-08-10 06:16:54+00:00,0,0
👑G.A.R.U.D.A.H.O.K.I member baru klaim50k✨,@PravinBanjar,2024-08-10 06:16:50+00:00,0,0
👑G.A.R.U.D.A.H.O.K.I member baru psti jepe✨,@PronayYT-gn8go,2024-08-10 06:16:26+00:00,45,0
HAUSWIN 138...Berbagi 100K✨,@KaranKumar-oe8pr,2024-08-10 06:16:19+00:00,0,0
👑@G.A.R.U.D.A.H.O.K.I terpercaya✨,@Skbooy-p8t,2024-08-10 06:15:55+00:00,0,0
"PANSERRRR
RUBAH LG RUBAH LG",@awanstrikeyt1182,2024-08-10 05:56:14+00:00,0,0
Duoma panserr paan sihh. Hadehhh. Udh bagus2 dream ma branz,@pecahchannel6970,2024-08-10 05:41:55+00:00,0,0
5.16.13 ada naga bonar,@darmasurya8994,2024-08-10 05:40:13+00:00,0,0
MPL setahun 2 kali ini. 😂😂,@tridchannel,2024-08-10 05:08:30+00:00,0,0
PERMAINAN LOKAL GK PERNAH BERUBAH NAPSUAN KOCAK AURA,@irvansusanto3855,2024-08-10 05:01:56+00:00,0,0
Guin evos kocak dek,@RereKimoy,2024-08-10 04:28:06+00:00,0,0
"Itu douma kocak bener, pake moskov ulti ke belakang, pake harith ke gang mulu 😂😂😂
Jabran ketawa pasti 🤣",@rvgnnubgaming,2024-08-10 04:07:07+00:00,10,0
"AWOKAWOK, banyak yang panas onic menang😂😂😂",@FanztC,2024-08-10 03:24:00+00:00,6,0
🥱🥱☕,@elissulistyowati1863,2024-08-10 03:19:18+00:00,0,0
Evos hanyalah evos bro,@andikajongchannel2328,2024-08-10 02:39:04+00:00,1,0
Bantu fnoc😊,@ernitresnawati8888,2024-08-10 02:34:41+00:00,2,0
"Douma blom kelas MPL sih, jd gk berguna bngt di team fight",@alvinidrajat7234,2024-08-10 02:28:15+00:00,1,0
ONIC CUMA BISA MENANG DI MPL ID😂,@Vampire_King980,2024-08-10 01:18:07+00:00,1,0
😀,@anwarsaputra3916,2024-08-10 01:13:30+00:00,1,0
